Prompt No,content
Prompt 1,Are there any accelerated MBA programs in Canada for working professionals? Ideally online and at my own pace. List them and compare them.
Prompt 2,"Are there any affordable MBA programs in BC? Anything under $30,000. Then compare their benefits and negatives and suggest the best one."
Prompt 3,"Are there any affordable MBA programs in Canada? Anything under $30,000. Then compare their benefits and negatives and suggest the best one."
Prompt 4,"Are there any good masters in education programs in BC? Anything under $30,000. Then compare their benefits and negatives and suggest the best one."
Prompt 5,"Are there any good masters in education programs in Canada? Anything under $30,000. Then compare their benefits and negatives and suggest the best one."
Prompt 6,"Are there any good masters in education programs in Ontario? Anything under $30,000. Then compare their benefits and negatives and suggest the best one."
Prompt 7,"Can you describe the role of an MBA in my business career, then offer the best online MBA degrees I could take that are available Canada-wide?"
Prompt 8,"Can you list the key prerequisites of a Canada BBA program, make sure to mention the schools as you list them."
Prompt 9,Can you recommend me some online master programs for teachers in Canada?
Prompt 10,"Describe the benefits of an online BBA degree, then suggest and compare the best BBA degrees in BC"
Prompt 11,Explain to me the benefits of an M.Ed degree in Canada and suggest a few affordable and potentially online M.Ed degrees in Canada.
Prompt 12,"How can I become a therapist in Canada? I want to know the schools to go to, how long the programs are, and what my job prospects are when I'm done the program."
Prompt 13,I am a full-time highschool teacher and I want to become a principal at my school after the current principal leaves in a few years. Where can I get a masters degree to help me get this job in the meantime? I live in Canada
Prompt 14,"I have $50,000 to spend on an education to earn a doctorate in counselling so I can advance my therapist career. This would have to be supplemented by government student loans. Where should I spend it?"
Prompt 15,"I just landed in Canada as an immigrant and want to get a business degree, but I need to work during the day. Are there any online programs that would be good for me?"
Prompt 16,"I want to become a therapist, but don't have a lot of money or time. How can I earn an accredited graduate degree at my own pace online. I live in Ontario"
Prompt 17,I'm a filmmaker with a college diploma. Are there any degrees for artists in BC wanting to get into the business side of the industry? List and compare the options.
Prompt 18,I'm a filmmaker with a college diploma. Are there any degrees for artists in Ontario wanting to get into the business side of the industry? List and compare the options.
Prompt 19,Is an online BBA worth it? List a few key programs worth exploring as I consider my next steps.
Prompt 20,"What are my financial aid options for counselling psychology masters students? I'm in Ontario, but would also be helpful to know Canada wide."
Prompt 21,What is the ROI on a Canadian M.Ed for careers in management? And are there any high ROI M.Ed programs I should take a look at based on your research?
Prompt 22,What is the ROI on a Canadian MBA for careers in management? And are there any high ROI MBA programs I should take a look at based on your research?
Prompt 23,What is the difference between a masters of education in curriculum and pedagogy and a masters in educational leadership? Which one is better? And where can I earn one in Canada?
Prompt 24,What is the difference between an Executive MBA vs Online MBA in Canada? Can you provide a few examples of each?
